,id,title,release_year,runtime,budget,revenue,vote_average,vote_count,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8
0,862,Toy Story,1995,81,30000000,373554033,7.7,5415,Animation,Comedy,Family,,,,,
1,8844,Jumanji,1995,104,65000000,262797249,6.9,2413,Adventure,Fantasy,Family,,,,,
2,15602,Grumpier Old Men,1995,101,0,0,6.5,92,Romance,Comedy,,,,,,
3,31357,Waiting to Exhale,1995,127,16000000,81452156,6.1,34,Comedy,Drama,Romance,,,,,
4,11862,Father of the Bride Part II,1995,106,0,76578911,5.7,173,Comedy,,,,,,,
5,949,Heat,1995,170,60000000,187436818,7.7,1886,Action,Crime,Drama,Thriller,,,,
6,11860,Sabrina,1995,127,58000000,0,6.2,141,Comedy,Romance,,,,,,
7,45325,Tom and Huck,1995,97,0,0,5.4,45,Action,Adventure,Drama,Family,,,,
8,9091,Sudden Death,1995,106,35000000,64350171,5.5,174,Action,Adventure,Thriller,,,,,
9,710,GoldenEye,1995,130,58000000,352194034,6.6,1194,Adventure,Action,Thriller,,,,,
10,9087,The American President,1995,106,62000000,107879496,6.5,199,Comedy,Drama,Romance,,,,,
11,12110,Dracula: Dead and Loving It,1995,88,0,0,5.7,210,Comedy,Horror,,,,,,
12,21032,Balto,1995,78,0,11348324,7.1,423,Family,Animation,Adventure,,,,,
13,10858,Nixon,1995,192,44000000,13681765,7.1,72,History,Drama,,,,,,
14,1408,Cutthroat Island,1995,119,98000000,10017322,5.7,137,Action,Adventure,,,,,,
15,524,Casino,1995,178,52000000,116112375,7.8,1343,Drama,Crime,,,,,,
16,4584,Sense and Sensibility,1995,136,16500000,135000000,7.2,364,Drama,Romance,,,,,,
17,5,Four Rooms,1995,98,4000000,4300000,6.5,539,Crime,Comedy,,,,,,
18,9273,Ace Ventura: When Nature Calls,1995,90,30000000,212385533,6.1,1128,Crime,Comedy,Adventure,,,,,
19,11517,Money Train,1995,103,60000000,35431113,5.4,224,Action,Comedy,Crime,,,,,
20,8012,Get Shorty,1995,105,30250000,115101622,6.4,305,Comedy,Thriller,Crime,,,,,
21,1710,Copycat,1995,124,0,0,6.5,199,Drama,Thriller,,,,,,
22,9691,Assassins,1995,132,50000000,30303072,6.0,394,Action,Adventure,Crime,Thriller,,,,
23,12665,Powder,1995,111,0,0,6.3,143,Drama,Fantasy,Science Fiction,Thriller,,,,
24,451,Leaving Las Vegas,1995,112,3600000,49800000,7.1,365,Drama,Romance,,,,,,
25,16420,Othello,1995,123,0,0,7.0,33,Drama,,,,,,,
26,9263,Now and Then,1995,100,12000000,27400000,6.6,91,Comedy,Drama,Family,,,,,
27,17015,Persuasion,1995,104,0,0,7.4,36,Drama,Romance,,,,,,
28,902,The City of Lost Children,1995,108,18000000,1738611,7.6,308,Fantasy,Science Fiction,Adventure,,,,,
29,37557,Shanghai Triad,1995,108,0,0,6.5,17,Drama,Crime,,,,,,
30,9909,Dangerous Minds,1995,99,0,180000000,6.4,249,Drama,Crime,,,,,,
31,63,Twelve Monkeys,1995,129,29500000,168840000,7.4,2470,Science Fiction,Thriller,Mystery,,,,,
32,78802,Wings of Courage,1996,50,0,0,6.8,4,Romance,Adventure,,,,,,
33,9598,Babe,1995,89,30000000,254134910,6.0,756,Fantasy,Drama,Comedy,Family,,,,
34,47018,Carrington,1995,121,0,0,6.4,16,History,Drama,Romance,,,,,
35,687,Dead Man Walking,1995,122,11000000,39363635,7.3,350,Drama,,,,,,,
36,139405,Across the Sea of Time,1995,51,0,0,3.5,2,Adventure,History,Drama,Family,,,,
37,33689,It Takes Two,1995,101,0,0,6.1,149,Comedy,Family,Romance,,,,,
38,9603,Clueless,1995,97,12000000,0,6.9,828,Comedy,Drama,Romance,,,,,
39,34615,"Cry, the Beloved Country",1995,106,0,676525,6.7,13,Drama,,,,,,,
40,31174,Richard III,1995,104,0,0,6.9,50,Drama,War,,,,,,
41,11443,Dead Presidents,1995,119,10000000,0,6.6,80,Action,Crime,Drama,History,,,,
42,35196,Restoration,1995,117,19000000,0,6.3,30,Drama,Romance,,,,,,
43,9312,Mortal Kombat,1995,101,18000000,122195920,5.4,452,Action,Fantasy,,,,,,
