,movieId,title,genres,release_year,runtime,budget,revenue,vote_average,vote_count,0,1,2,3,4,5,6,7
0,862,Toy Story,"['Animation', 'Comedy', 'Family']",1995,81,30000000,373554033,7.7,5415,Animation,Comedy,Family,,,,,
1,8844,Jumanji,"['Adventure', 'Fantasy', 'Family']",1995,104,65000000,262797249,6.9,2413,Adventure,Fantasy,Family,,,,,
2,15602,Grumpier Old Men,"['Romance', 'Comedy']",1995,101,0,0,6.5,92,Romance,Comedy,,,,,,
3,31357,Waiting to Exhale,"['Comedy', 'Drama', 'Romance']",1995,127,16000000,81452156,6.1,34,Comedy,Drama,Romance,,,,,
4,11862,Father of the Bride Part II,['Comedy'],1995,106,0,76578911,5.7,173,Comedy,,,,,,,
5,949,Heat,"['Action', 'Crime', 'Drama', 'Thriller']",1995,170,60000000,187436818,7.7,1886,Action,Crime,Drama,Thriller,,,,
6,11860,Sabrina,"['Comedy', 'Romance']",1995,127,58000000,0,6.2,141,Comedy,Romance,,,,,,
7,45325,Tom and Huck,"['Action', 'Adventure', 'Drama', 'Family']",1995,97,0,0,5.4,45,Action,Adventure,Drama,Family,,,,
8,9091,Sudden Death,"['Action', 'Adventure', 'Thriller']",1995,106,35000000,64350171,5.5,174,Action,Adventure,Thriller,,,,,
9,710,GoldenEye,"['Adventure', 'Action', 'Thriller']",1995,130,58000000,352194034,6.6,1194,Adventure,Action,Thriller,,,,,
10,9087,The American President,"['Comedy', 'Drama', 'Romance']",1995,106,62000000,107879496,6.5,199,Comedy,Drama,Romance,,,,,
11,12110,Dracula: Dead and Loving It,"['Comedy', 'Horror']",1995,88,0,0,5.7,210,Comedy,Horror,,,,,,
12,21032,Balto,"['Family', 'Animation', 'Adventure']",1995,78,0,11348324,7.1,423,Family,Animation,Adventure,,,,,
13,10858,Nixon,"['History', 'Drama']",1995,192,44000000,13681765,7.1,72,History,Drama,,,,,,
14,1408,Cutthroat Island,"['Action', 'Adventure']",1995,119,98000000,10017322,5.7,137,Action,Adventure,,,,,,
15,524,Casino,"['Drama', 'Crime']",1995,178,52000000,116112375,7.8,1343,Drama,Crime,,,,,,
16,4584,Sense and Sensibility,"['Drama', 'Romance']",1995,136,16500000,135000000,7.2,364,Drama,Romance,,,,,,
17,5,Four Rooms,"['Crime', 'Comedy']",1995,98,4000000,4300000,6.5,539,Crime,Comedy,,,,,,
18,9273,Ace Ventura: When Nature Calls,"['Crime', 'Comedy', 'Adventure']",1995,90,30000000,212385533,6.1,1128,Crime,Comedy,Adventure,,,,,
19,11517,Money Train,"['Action', 'Comedy', 'Crime']",1995,103,60000000,35431113,5.4,224,Action,Comedy,Crime,,,,,
20,8012,Get Shorty,"['Comedy', 'Thriller', 'Crime']",1995,105,30250000,115101622,6.4,305,Comedy,Thriller,Crime,,,,,
21,1710,Copycat,"['Drama', 'Thriller']",1995,124,0,0,6.5,199,Drama,Thriller,,,,,,
22,9691,Assassins,"['Action', 'Adventure', 'Crime', 'Thriller']",1995,132,50000000,30303072,6.0,394,Action,Adventure,Crime,Thriller,,,,
23,12665,Powder,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']",1995,111,0,0,6.3,143,Drama,Fantasy,Science Fiction,Thriller,,,,
24,451,Leaving Las Vegas,"['Drama', 'Romance']",1995,112,3600000,49800000,7.1,365,Drama,Romance,,,,,,
25,16420,Othello,['Drama'],1995,123,0,0,7.0,33,Drama,,,,,,,
26,9263,Now and Then,"['Comedy', 'Drama', 'Family']",1995,100,12000000,27400000,6.6,91,Comedy,Drama,Family,,,,,
27,17015,Persuasion,"['Drama', 'Romance']",1995,104,0,0,7.4,36,Drama,Romance,,,,,,
28,902,The City of Lost Children,"['Fantasy', 'Science Fiction', 'Adventure']",1995,108,18000000,1738611,7.6,308,Fantasy,Science Fiction,Adventure,,,,,
29,37557,Shanghai Triad,"['Drama', 'Crime']",1995,108,0,0,6.5,17,Drama,Crime,,,,,,
30,9909,Dangerous Minds,"['Drama', 'Crime']",1995,99,0,180000000,6.4,249,Drama,Crime,,,,,,
31,63,Twelve Monkeys,"['Science Fiction', 'Thriller', 'Mystery']",1995,129,29500000,168840000,7.4,2470,Science Fiction,Thriller,Mystery,,,,,
32,78802,Wings of Courage,"['Romance', 'Adventure']",1996,50,0,0,6.8,4,Romance,Adventure,,,,,,
33,9598,Babe,"['Fantasy', 'Drama', 'Comedy', 'Family']",1995,89,30000000,254134910,6.0,756,Fantasy,Drama,Comedy,Family,,,,
34,47018,Carrington,"['History', 'Drama', 'Romance']",1995,121,0,0,6.4,16,History,Drama,Romance,,,,,
35,687,Dead Man Walking,['Drama'],1995,122,11000000,39363635,7.3,350,Drama,,,,,,,
36,139405,Across the Sea of Time,"['Adventure', 'History', 'Drama', 'Family']",1995,51,0,0,3.5,2,Adventure,History,Drama,Family,,,,
37,33689,It Takes Two,"['Comedy', 'Family', 'Romance']",1995,101,0,0,6.1,149,Comedy,Family,Romance,,,,,
38,9603,Clueless,"['Comedy', 'Drama', 'Romance']",1995,97,12000000,0,6.9,828,Comedy,Drama,Romance,,,,,
39,34615,"Cry, the Beloved Country",['Drama'],1995,106,0,676525,6.7,13,Drama,,,,,,,
40,31174,Richard III,"['Drama', 'War']",1995,104,0,0,6.9,50,Drama,War,,,,,,
41,11443,Dead Presidents,"['Action', 'Crime', 'Drama', 'History']",1995,119,10000000,0,6.6,80,Action,Crime,Drama,History,,,,
42,35196,Restoration,"['Drama', 'Romance']",1995,117,19000000,0,6.3,30,Drama,Romance,,,,,,
43,9312,Mortal Kombat,"['Action', 'Fantasy']",1995,101,18000000,122195920,5.4,452,Action,Fantasy,,,,,,
44,577,To Die For,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",1995,106,20000000,21284514,6.7,177,Fantasy,Drama,Comedy,Thriller,,,,
45,11861,How To Make An American Quilt,"['Drama', 'Romance']",1995,116,10000000,23574130,6.5,38,Drama,Romance,,,,,,
46,807,Se7en,"['Crime', 'Mystery', 'Thriller']",1995,127,33000000,327311859,8.1,5915,Crime,Mystery,Thriller,,,,,
47,10530,Pocahontas,"['Adventure', 'Animation', 'Drama', 'Family']",1995,81,55000000,346079773,6.7,1509,Adventure,Animation,Drama,Family,,,,
48,8391,When Night Is Falling,"['Drama', 'Romance']",1995,96,0,0,5.9,10,Drama,Romance,,,,,,
49,629,The Usual Suspects,"['Drama', 'Crime', 'Thriller']",1995,106,6000000,23341568,8.1,3334,Drama,Crime,Thriller,,,,,
50,117164,Guardian Angel,"['Action', 'Thriller', 'Drama']",1994,93,0,0,6.3,3,Action,Thriller,Drama,,,,,
51,11448,Mighty Aphrodite,"['Comedy', 'Romance']",1995,95,15000000,6700000,6.7,145,Comedy,Romance,,,,,,
52,49133,Lamerica,"['Drama', 'Foreign']",1994,116,0,0,7.7,11,Drama,Foreign,,,,,,
53,26441,The Big Green,"['Action', 'Adventure', 'Comedy', 'Family']",1995,100,0,0,5.2,41,Action,Adventure,Comedy,Family,,,,
54,97406,Georgia,['Drama'],1995,115,0,0,6.1,15,Drama,,,,,,,
55,124057,Kids of the Round Table,[],1997,89,0,0,3.0,1,,,,,,,,
56,9089,Home for the Holidays,"['Comedy', 'Drama', 'Romance']",1995,103,0,17519169,6.3,39,Comedy,Drama,Romance,,,,,
57,11010,The Postman,"['Comedy', 'Drama', 'Romance']",1994,108,0,0,7.6,181,Comedy,Drama,Romance,,,,,
58,99040,The Confessional,"['Thriller', 'Drama', 'Mystery']",1995,100,0,0,6.5,2,Thriller,Drama,Mystery,,,,,
59,11359,The Indian in the Cupboard,"['Adventure', 'Family', 'Fantasy']",1995,96,45000000,0,5.9,136,Adventure,Family,Fantasy,,,,,
60,17182,Eye for an Eye,"['Drama', 'Thriller']",1996,101,20000000,0,5.8,65,Drama,Thriller,,,,,,
61,2054,Mr. Holland's Opus,"['Music', 'Drama', 'Family']",1995,137,0,106269971,6.9,115,Music,Drama,Family,,,,,
62,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,['Comedy'],1996,89,0,0,6.2,192,Comedy,,,,,,,
63,19760,Two If by Sea,"['Comedy', 'Romance']",1996,96,0,0,4.5,14,Comedy,Romance,,,,,,
64,9536,Bio-Dome,['Comedy'],1996,88,15000000,0,4.4,110,Comedy,,,,,,,
